VALID,ISSUE_DATE,ADDRESS,LAT,LON,ACCURACY
1,2010-03-05 00:00:00,975 Walton Ave  Bronx,40.8296967,-73.9227243,8
1,2010-03-05 00:00:00,2095 Bergen St  Kings,40.6739695,-73.9107296,8
1,2010-03-06 00:00:00,119 Chrystie St  Manhattan,40.7188049,-73.9937046,8
1,2010-03-02 00:00:00,113-15 34 AVE  Queens,40.7570844,-73.8558326,8
1,2010-03-05 00:00:00,282 9th St  Kings,40.6696070,-73.9877540,8
1,2010-03-07 00:00:00,353 Central Park West  Manhattan,40.7912160,-73.9653020,8
1,2010-03-30 00:00:00,1401 Bedford Ave  Kings,40.6751953,-73.9533169,8
1,2010-03-30 00:00:00,50 W 77th St  Manhattan,40.7803790,-73.9760760,8
1,2010-03-05 00:00:00,271 9th St  Kings,40.6699412,-73.9874850,8
1,2010-03-06 00:00:00,38-12 20th Ave  Queens,40.7765630,-73.9022789,8
1,2010-03-06 00:00:00,197D Madison St  Manhattan,40.7127460,-73.9902840,8
1,2010-03-06 00:00:00,376 9th St  Kings,40.6678146,-73.9838329,8
1,2010-03-30 00:00:00,666 Greenwich St  Manhattan,40.7323050,-74.0077630,8
1,2010-03-05 00:00:00,203-205 Madison St  Manhattan,40.7126839,-73.9895818,8
1,2010-03-06 00:00:00,197 E Broadway  Manhattan,40.7141552,-73.9881187,8
1,2010-03-30 00:00:00,514 E 20th St  Manhattan,40.7339027,-73.9773558,8
1,2010-03-05 00:00:00,15 Maple St  Kings,40.6602899,-73.9600306,8
1,2010-03-30 00:00:00,672 Grand St  Kings,40.7112560,-73.9454200,8
1,2010-03-05 00:00:00,1902 St Nicholas Ave  Manhattan,40.8567603,-73.9282870,8
1,2010-03-05 00:00:00,37 E 1st St  Manhattan,40.7238080,-73.9902830,8
1,2010-03-06 00:00:00,W 4th Ave 10ft S/of E 11th St Manhattan,40.7303706,-73.9863812,6
1,2010-03-05 00:00:00,555 Walton Ave  Bronx,40.8190560,-73.9284280,8
1,2010-03-05 00:00:00,1015 Walton Ave  Bronx,40.8308435,-73.9220781,8
1,2010-03-02 00:00:00,113-15 34 AVE  Queens,40.7570844,-73.8558326,8
1,2010-03-05 00:00:00,99 Chrystie St  Manhattan,40.7178729,-73.9941415,8
1,2010-03-05 00:00:00,382 5th Ave  Kings,36.1151572,-119.5542560,8
1,2010-03-05 00:00:00,40-13 20th Ave  Queens,40.7764700,-73.9008760,8
1,2010-03-06 00:00:00,341 5th Ave  Kings,40.6719599,-73.9837857,8
1,2010-03-03 00:00:00,120 COLUMBIA  Manhattan,40.7188420,-73.9789850,8
1,2010-03-06 00:00:00,886 De Kalb Ave  Kings,40.6925405,-73.9405234,8
