"SUMMONS_NUMBER","PLATE","STATE","WS_TYPE","ISSUE_DATE","VIOLATION_DESCRIPTION","VIOLATION_CODE","FINE_AMOUNT","VIOLATION_COUNTY","FRONT_OF_OPPOSITE","HOUSE_NUMBER","STREET_NAME","INTERSECT_STREET_NAME","STREET_CODE1","STREET_CODE2","STREET_CODE3"
"7194184825","CDK7598   ","NY","PAS","20100305","48-Bike Lane                                                                     ","48","115","BX   ","F","975         ","Walton Ave          ","                    ","72720","26490","26580"
"7506401800","CJL2288   ","NY","PAS","20100305","48-Bike Lane                                                           Y015001003","48","115","K    ","F","2095        ","Bergen St           ","                    ","19230","73470","38430"
"7934204231","CLR7908   ","NY","PAS","20100306","48-Bike Lane                                                                     ","48","115","NY   ","F","119         ","Chrystie St         ","                    ","15310","21690","13810"
"1290049464","CLV4136   ","NY","PAS","20100302","                                                                                 ","48","055","Q    ","F","113-15      ","34 AVE              ","                    ","08440","20640","12010"
"7520594245","CML3375   ","NY","PAS","20100305","48-Bike Lane                                                                     ","48","115","K    ","F","282         ","9th St              ","                    ","06030","05430","05580"
"7038402225","CM576C    ","NY","PAS","20100307","48-Bike Lane                                                                     ","48","115","NY   ","O","353         ","Central Park West   ","                    ","14510","35670","35690"
"7500910654","EST5285   ","NY","PAS","20100330","48-Bike Lane                                                                     ","48","115","K    ","F","1401        ","Bedford Ave         ","                    ","18630","80430","72730"
"7974118349","ESX8159   ","NY","PAS","20100330","48-Bike Lane                                                                     ","48","115","NY   ","F","50          ","W 77th St           ","                    ","35310","14510","15710"
"7520594210","CUL9309   ","NY","PAS","20100305","48-Bike Lane                                                                     ","48","115","K    ","F","271         ","9th St              ","                    ","06030","05430","05580"
"7126622144","CVG4460   ","NY","PAS","20100306","48-Bike Lane                                                           Y015001003","48","115","Q    ","F","38-12       ","20th Ave            ","                    ","06440","09090","64290"
"7945834980","CWY8221   ","NY","PAS","20100306","48-Bike Lane                                                           Y015001003","48","115","NY   ","O","197D        ","Madison St          ","                    ","25490","28790","29990"
"7530566623","CYJ2796   ","NY","PAS","20100306","48-Bike Lane                                                           Y015001003","48","115","K    ","O","376         ","9th St              ","                    ","06030","05680","05780"
"7722823427","ETL9388   ","NY","PAS","20100330","48-Bike Lane                                                                     ","48","115","NY   ","O","666         ","Greenwich St        ","                    ","21790","12610","15210"
"7944198380","DFS5656   ","NY","PAS","20100305","48-Bike Lane                                                                     ","48","115","NY   ","F","203-205     ","Madison St          ","                    ","25490","29990","23990"
"7940151460","DGK2015   ","NY","PAS","20100306","48-Bike Lane                                                                     ","48","115","NY   ","F","197         ","E Broadway          ","                    ","19690","23990","15510"
"7915110433","EVD2925   ","NY","PAS","20100330","48-Bike Lane                                                                     ","48","115","NY   ","O","514         ","E 20th St           ","                    ","17390","31710","31710"
"7232666986","DKH2857   ","NY","PAS","20100305","48-Bike Lane                                                                     ","48","115","K    ","F","15          ","Maple St            ","                    ","58530","40930","18630"
